32 5 4
32 8 4
27 33 5
10 9 2
21 1 3
7 7 5
23 11 5
45 10 6
56 8 3
45 12 4
51 25 8
24 18 5
43 12 4
37 19 4
30 2 1
44 20 3
58 12 3
69 6 4
18 19 3
28 4 6
37 24 2
48 5 3
32 5 2
32 1 2
40 10 4
22 18 5
41 16 2
18 6 2
31 33 0
14 26 3
60 0 3
45 3 4
26 7 3
82 23 6
3 18 6
17 17 3
12 41 3
59 15 4
48 5 5
26 18 5
8 1 3
21 7 4
23 20 3
42 8 2
20 10 3
51 11 7
50 14 5
22 8 4
40 13 3
48 9 3
22 15 5
43 5 5
39 7 4
65 4 4
23 0 2
48 5 2
60 6 5
38 2 4
35 25 4
17 18 1
25 3 4
13 18 4
81 18 0
38 2 5
20 1 6
46 22 5
35 26 4
31 19 0
29 17 5
34 3 5
32 3 5
68 2 5
24 12 4
49 16 4
56 25 4
51 15 3
14 34 4
34 7 4
43 9 5
41 0 4
51 24 3
17 12 2
43 24 3
27 7 2
56 6 3
43 1 3
50 6 3
14 12 7
33 9 0
23 13 4
39 44 4
15 30 0
46 4 4
13 21 5
52 4 4
18 22 2
22 15 1
72 19 6
35 7 6
43 11 2
41 11 5
30 11 0
42 0 4
60 13 4
44 30 0
25 27 4
36 13 2
27 13 4
47 3 5
33 1 4
46 18 3
43 0 2
32 27 3
15 22 5
58 7 1
36 16 4
64 5 4
62 7 4
35 13 4
16 3 4
40 17 1
3 19 3
31 2 0
57 17 0
29 6 4
25 7 3
24 24 3
44 5 6
32 1 3
35 17 4
36 12 2
65 16 4
31 5 4
34 12 3
10 3 4
26 4 4
38 28 2
56 6 4
30 5 3
19 8 2
42 6 3
63 4 4
9 9 3
40 4 5
26 17 0
48 28 4
20 13 6
50 12 4
65 1 4
7 4 2
42 19 2
62 12 6
32 9 3
66 20 4
25 19 4
37 13 5
56 7 4
20 16 3
46 13 3
29 19 1
42 10 3
49 36 3
49 5 4
70 19 5
39 0 6
61 17 6
39 4 2
25 6 2
37 23 5
22 1 3
25 4 5
41 17 3
27 8 1
19 23 3
53 7 7
36 16 3
38 11 3
30 1 5
36 10 6
50 7 4
16 36 4
61 22 4
39 6 2
20 26 6
61 2 4
52 7 5
75 8 5
66 14 6
10 11 4
8 1 7
25 17 1
50 3 3
33 25 4
31 1 0
25 19 5
44 4 6
26 26 4
24 1 3
34 50 3
32 16 3
28 9 1
25 7 4
13 18 3
24 8 3
31 6 5
62 19 7
27 20 3
40 33 5
42 15 4
25 7 3
25 5 3
48 14 2
31 8 4
62 3 5
40 0 1
22 9 2
34 9 4
49 17 4
48 13 5
78 1 6
41 11 2
25 14 3
80 9 6
56 12 0
45 3 5
37 1 6
62 3 5
22 23 4
53 29 2
56 23 4
54 26 7
47 9 2
42 19 4
35 5 1
48 3 0
27 8 5
62 6 4
28 1 3
59 17 1
1 19 5
51 2 2
47 8 2
41 5 4
33 14 4
63 7 5
26 14 2
19 14 3
28 6 3
34 1 3
25 10 5
