22 15 2
22 1 2
17 43 3
1 19 0
11 11 1
2 17 3
13 21 3
35 0 4
46 18 1
35 22 2
41 35 6
14 28 3
33 2 2
27 29 2
20 12 3
34 30 1
48 22 1
59 16 2
8 29 1
18 14 4
27 34 0
38 15 1
22 15 0
22 8 0
30 20 2
12 28 3
31 26 0
8 16 0
21 43 2
4 36 1
50 9 1
35 13 2
16 2 1
72 33 4
6 28 4
7 27 1
2 51 1
49 5 2
38 15 3
16 28 3
1 8 1
11 2 2
13 30 1
32 18 0
10 20 1
41 21 5
40 24 3
12 18 2
30 3 1
38 0 1
12 5 3
33 15 3
29 17 2
55 14 2
13 10 0
38 15 0
50 16 3
28 7 2
25 35 2
7 28 0
15 13 2
3 28 2
71 28 1
28 7 3
10 11 4
36 32 3
25 36 2
21 29 1
19 27 3
24 6 3
22 6 3
58 7 3
14 2 2
39 26 2
46 35 2
41 25 1
4 44 2
24 17 2
33 19 3
31 9 2
41 34 1
7 22 0
33 34 1
17 17 0
46 16 1
33 8 1
40 16 1
4 22 5
23 19 1
13 23 2
29 54 2
5 40 1
36 14 2
3 31 3
42 5 2
8 32 0
12 25 0
62 29 4
25 17 4
33 21 0
31 21 3
20 21 1
32 9 2
50 23 2
34 40 1
15 37 2
26 23 0
17 23 2
37 13 3
23 11 2
36 28 1
33 10 0
22 37 1
5 32 3
48 17 0
26 26 2
54 15 2
52 17 2
25 23 2
6 13 2
30 27 0
6 29 1
21 12 1
47 27 1
19 16 2
15 17 1
14 34 1
34 15 4
22 8 1
25 27 2
26 22 0
55 26 2
21 4 2
