72 15 4
72 1 4
67 43 5
50 19 2
61 11 3
47 17 5
63 21 5
85 0 6
96 18 3
85 22 4
91 35 8
64 28 5
83 2 4
77 29 4
70 12 1
84 30 3
98 22 3
99 16 4
58 29 3
68 14 6
77 34 2
88 15 3
72 15 2
72 8 2
80 20 4
62 28 5
81 26 2
58 16 2
71 43 0
54 36 3
99 9 3
85 13 4
66 2 3
99 33 6
43 28 6
57 27 3
52 51 3
99 5 4
88 15 5
66 28 5
48 8 3
61 2 4
63 30 3
82 18 2
60 20 3
91 21 7
90 24 5
62 18 4
80 3 3
88 0 3
62 5 5
83 15 5
79 17 4
99 14 4
63 10 2
88 15 2
99 16 5
78 7 4
75 35 4
57 28 1
65 13 4
53 28 4
99 28 0
78 7 5
60 11 6
86 32 5
75 36 4
71 29 0
69 27 5
74 6 5
72 6 5
99 7 5
64 2 4
89 26 4
96 35 4
91 25 3
54 44 4
74 17 4
83 19 5
81 9 4
91 34 3
57 22 2
83 34 3
67 17 2
96 16 3
83 8 3
90 16 3
54 22 7
73 19 0
63 23 4
79 54 4
55 40 0
86 14 4
53 31 5
92 5 4
58 32 2
62 25 1
99 29 6
75 17 6
83 21 2
81 21 5
70 21 0
82 9 4
99 23 4
84 40 0
65 37 4
76 23 2
67 23 4
87 13 5
73 11 4
86 28 3
83 10 2
72 37 3
55 32 5
98 17 1
76 26 4
99 15 4
99 17 4
75 23 4
56 13 4
80 27 1
43 29 3
71 12 0
97 27 0
69 16 4
65 17 3
64 34 3
84 15 6
72 8 3
75 27 4
76 22 2
99 26 4
71 4 4
74 22 3
50 6 4
66 14 4
78 38 2
96 16 4
70 15 3
59 18 2
82 16 3
99 5 4
49 19 3
80 14 5
66 27 0
88 38 4
60 23 6
90 22 4
99 11 4
32 14 2
82 29 2
99 22 6
72 19 3
99 30 4
65 29 4
77 23 5
96 17 4
60 26 3
86 23 3
69 29 1
82 20 3
89 46 3
89 4 4
99 29 5
79 9 6
99 27 6
79 5 2
65 16 2
77 33 5
62 8 3
65 14 5
81 27 3
67 18 1
59 33 3
93 17 7
76 26 3
78 21 3
70 8 5
76 20 6
90 17 4
56 46 4
99 32 4
79 16 2
60 36 6
99 7 4
92 17 5
99 1 5
99 24 6
29 21 4
48 8 7
65 27 1
90 13 3
73 35 4
71 11 0
65 29 5
84 5 6
66 36 4
64 8 3
74 60 3
72 6 3
68 0 1
65 2 4
53 28 3
64 18 3
71 16 5
99 29 7
67 30 3
80 23 5
82 25 4
65 17 3
65 4 3
88 24 2
71 18 4
99 13 5
80 9 1
62 19 2
74 0 4
89 7 4
88 23 5
99 11 6
81 1 2
65 4 3
99 19 6
96 22 0
85 13 5
77 8 6
99 13 5
62 33 4
93 39 2
96 33 4
94 36 7
87 19 2
82 29 4
75 15 1
88 13 0
67 1 5
99 3 4
68 8 3
99 27 1
41 29 5
91 12 2
87 1 2
81 15 4
73 24 4
99 17 5
66 24 2
59 24 3
68 3 3
74 11 3
65 20 5
